MotID;Heiti;Stadur;Upphafsdagur;Lokadagur;LidID;EinstID;Lysing;Timastimpill;ByrjaTimi;EndaTimi;MinuturALeik;Stigaregla;Stada;MaxHrinur;TwitterTag
59;Afmælismót HK og haustmót BLÍ 2004;Digranes;2004-09-25 00:00:00.000;2004-09-25 00:00:00.000;691;157;;2004-07-21 13:24:19.217;1899-12-30 09:00:00.000;1899-12-30 23:00:00.000;45;"BLÍ       ";L;3;NULL
60;Strandblak Akureyri 2004;Akureyri;2004-08-21 00:00:00.000;2004-08-21 00:00:00.000;1471;678;Strandblakmót á Akureyri;2004-08-14 00:10:51.547;1899-12-30 08:00:00.000;1899-12-30 19:00:00.000;30;"BLÍ       ";L;2;NULL
61;Íslandsmótið í strandblaki 2004;Fagralundi;2004-09-04 00:00:00.000;2004-09-05 00:00:00.000;1008;1422;Mót haldið á vegum BLÍ og verður í Fagralundi á nýja vellinum hjá HK;2004-08-20 13:50:53.140;1899-12-30 10:00:00.000;1899-12-30 21:00:00.000;45;"BLÍ       ";L;3;NULL
62;Haustmót Fylkis;Fylkishöll;2004-09-11 00:00:00.000;2004-09-11 00:00:00.000;125;1252;Mót fyrir blönduð lið.;2004-08-20 14:09:38.187;1899-12-30 10:20:00.000;1899-12-30 17:00:00.000;50;"BLÍ       ";G;3;NULL
63;Brosmót Aftureldingar;Varmá, Mosfellsbæ;2004-11-20 00:00:00.000;2004-11-20 00:00:00.000;1442;265;;2004-09-29 10:04:29.293;1899-12-30 09:00:00.000;1899-12-30 17:00:00.000;45;"BLÍ       ";L;3;NULL
64;Íslandsmót BLÍ 2004-2005;;2004-10-15 00:00:00.000;2005-03-18 00:00:00.000;39;1034;;2004-09-30 17:25:37.670;1899-12-30 08:00:00.000;1899-12-30 23:00:00.000;45;"BLÍ       ";G;5;NULL
65;Stjörnumót 2004;Íþróttahúsinu við Ásgarð;2004-10-23 00:00:00.000;2004-10-23 00:00:00.000;1021;1101;;2004-10-02 16:32:09.140;1899-12-30 08:00:00.000;1899-12-30 23:00:00.000;35;"BLÍ       ";G;2;NULL
66;Haustmót KA 2004;KA-heimilið;2004-11-19 00:00:00.000;2004-11-20 00:00:00.000;1735;15;;2004-10-03 11:41:49.483;1899-12-30 08:05:00.000;1899-12-30 23:50:00.000;35;"BLÍ       ";L;3;NULL
67;KB Bankamót Snæfells;Stykkishólmur;2004-11-06 00:00:00.000;2004-11-06 00:00:00.000;114;342;;2004-10-03 13:13:08.640;1899-12-30 09:30:00.000;1899-12-30 16:30:00.000;35;"BLÍ       ";L;3;NULL
68;30. Öldungamót BLÍ;Akureyri;2005-04-21 00:00:00.000;2005-04-23 00:00:00.000;1735;544;;2004-10-10 10:27:23.390;1899-12-30 08:30:00.000;1899-12-30 23:30:00.000;45;"BLÍ       ";L;3;NULL
69;Dímonarmót 2005;Hvolsvöllur;2005-01-29 00:00:00.000;2005-01-29 00:00:00.000;1204;889;;2004-11-02 13:02:13.553;1899-12-30 09:00:00.000;1899-12-30 16:00:00.000;40;"BLÍ       ";S;3;NULL
70;Bresamót 2005;Akranes;2005-03-05 00:00:00.000;2005-03-05 00:00:00.000;148;590;Mótið er hraðmót opið öllum;2004-11-04 13:52:14.143;1899-12-30 08:00:00.000;1899-12-30 23:00:00.000;45;"BLÍ       ";L;2;NULL
71;Nýársmót Völsungs 2005;Húsavík;2005-01-08 00:00:00.000;2005-01-08 00:00:00.000;75;74;;2004-11-04 13:57:01.813;1899-12-30 09:00:00.000;1899-12-30 19:00:00.000;40;"BLÍ       ";L;2;NULL
72;HK trimm 2005;Digranesi, Kópavogi;2005-01-08 00:00:00.000;2005-01-09 00:00:00.000;110;157;22. trimmmót HK;2004-11-11 08:18:07.080;1899-12-30 08:00:00.000;1899-12-30 23:00:00.000;30;"BLÍ       ";U;2;NULL
73;Snæfellsbæjarmót 2005;Ólafsvík;2005-02-19 00:00:00.000;2005-02-19 00:00:00.000;108;407;Blak undir jökli;2004-11-19 11:08:00.853;1899-12-30 10:00:00.000;1899-12-30 17:30:00.000;30;"BLÍ       ";L;2;NULL
74;Áramót 2004;Varmá, Mosfellsbæ;2004-12-31 00:00:00.000;2004-12-31 00:00:00.000;1015;479;Einstaklingskeppni um titilinn blakmaður ársins karla og kvenna;2004-12-09 13:16:28.700;1899-12-30 09:30:00.000;1899-12-30 13:00:00.000;30;"BLÍ       ";F;3;NULL
75;Hraðmót Fylkis 2005;Fylkishöll;2005-03-19 00:00:00.000;2005-03-19 00:00:00.000;1830;398;;2004-12-13 11:00:24.167;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;30;"BLÍ       ";G;2;NULL
