LidID;Nafn;Radnumer;LidaTegundID;SyndarLid;Timastimpill;SyndarlidID
3597;"A3                                      ";NULL;21;1;2009-03-06 19:01:20.420;3597
3598;"A4                                      ";NULL;21;1;2009-03-06 19:01:20.483;3598
3599;"A5                                      ";NULL;21;1;2009-03-06 19:01:20.640;3599
3600;"B1                                      ";NULL;21;1;2009-03-06 19:01:20.750;3600
3601;"B2                                      ";NULL;21;1;2009-03-06 19:01:20.860;3601
3602;"B3                                      ";NULL;21;1;2009-03-06 19:01:21.060;3602
3603;"B4                                      ";NULL;21;1;2009-03-06 19:01:21.153;3603
3604;"B5                                      ";NULL;21;1;2009-03-06 19:01:21.250;3604
3605;HK C;NULL;21;0;2009-03-08 21:52:10.840;NULL
3606;Leiknir B;NULL;21;0;2009-03-20 12:45:24.607;NULL
3607;Leiknir Fásk;NULL;20;0;2009-03-20 12:54:47.717;NULL
3608;KA '96;NULL;20;0;2009-03-23 15:45:11.577;NULL
3609;Rimar B;NULL;23;0;2009-03-24 18:28:36.857;NULL
3610;Verkís A;NULL;20;0;2009-03-25 14:58:06.247;NULL
3611;Verkís B;NULL;20;0;2009-03-25 15:00:24.937;NULL
3612;Rassskellur;NULL;20;0;2009-03-27 15:04:43.763;NULL
3613;Sindri;NULL;20;0;2009-03-28 18:51:58.390;NULL
3614;Sindri 2;NULL;21;0;2009-03-30 22:09:28.250;NULL
3615;þróttur Nes 3;3;21;0;2009-03-31 10:26:47.810;NULL
3616;Víkingur Reykjavík;NULL;23;0;2009-03-31 20:44:23.110;NULL
3617;Óðinn-Skautar;NULL;20;0;2009-03-31 20:51:15.233;NULL
3618;Skautar-Óðinn;NULL;20;0;2009-03-31 21:01:28.043;NULL
3619;Víkingur R;NULL;21;0;2009-03-31 21:23:57.920;NULL
3620;Snörtur 1;NULL;20;0;2009-04-01 09:27:13.983;NULL
3621;MK;NULL;40;0;2009-04-02 14:13:35.327;NULL
3622;MA;NULL;40;0;2009-04-02 14:15:13.763;NULL
3623;Framh.sk. á Laugum;NULL;40;0;2009-04-02 14:17:12.500;NULL
3624;FSU;NULL;40;0;2009-04-02 14:18:26.310;NULL
3625;Verzló;NULL;40;0;2009-04-02 14:20:26.967;NULL
3626;Kvennaskólinn;NULL;40;0;2009-04-02 14:21:17.590;NULL
3627;FSN;NULL;40;0;2009-04-02 14:22:50.297;NULL
3628;FVA;NULL;40;0;2009-04-02 14:24:03.577;NULL
3629;ML;NULL;40;0;2009-04-02 14:25:11.373;NULL
3630;Borgó;NULL;40;0;2009-04-02 14:29:59.437;NULL
3831;Huginn Þróttur;NULL;20;0;2009-04-10 12:38:47.857;NULL
3864;ÍBR;1;39;0;2009-07-03 22:37:34.670;NULL
3865;ÍBA;NULL;39;0;2009-07-03 22:38:28.890;NULL
3866;UÍF;NULL;39;0;2009-07-03 22:39:29.013;NULL
3867;UMSS;NULL;39;0;2009-07-03 22:40:44.357;NULL
3868;ÚÍA;NULL;39;0;2009-07-03 22:41:23.467;NULL
3869;HSV;NULL;39;0;2009-07-03 22:42:57.310;NULL
3870;UMSE/UFA;NULL;39;0;2009-07-03 22:44:09.577;NULL
3871;HSV;NULL;38;0;2009-07-03 22:46:15.687;NULL
3872;ÍBA;NULL;38;0;2009-07-03 22:46:54.950;NULL
3874;UMSE/UFA;NULL;38;0;2009-07-03 22:47:50.653;NULL
3875;Ekkert lið;NULL;39;0;2009-07-03 22:55:56.763;NULL
3902;HK -MFl.KVK;NULL;39;0;2009-09-08 09:44:40.280;NULL
3905;HK -MFl.KK;NULL;38;0;2009-09-08 11:23:03.107;NULL
4153;Ýmir;NULL;39;0;2009-09-30 17:34:06.670;NULL
4154;Stjarnan 2;NULL;38;0;2009-09-30 19:52:54.747;NULL
4155;Þróttur Rc;NULL;39;0;2009-09-30 19:58:55.420;NULL
4156;Stjarnan A;NULL;39;0;2009-09-30 20:00:07.763;NULL
4157;Bresi;NULL;39;0;2009-09-30 20:02:23.733;NULL
4158;Skellur - karlar;NULL;38;0;2009-10-05 13:59:13.140;NULL
4159;Sindri;NULL;38;0;2009-10-20 11:16:03.247;NULL
